Route,Direction,Stop Sequence,Stop
753,Southbound,006,Markeri St near Orpheus Rd [300961]
753,Southbound,007,Ron Penhaligon Way near Markeri St [316770]
753,Southbound,008,Ron Penhaligon Way near Essendon Pl [301299]
753,Southbound,009,Ron Penhaligon Way near Homebush Dr [301300]
753,Southbound,010,Manly Dr near Pipers Pt [301286]
753,Southbound,011,Manly Dr near Sandringham Dr [301287]
753,Southbound,012,Pyrmont St near Cottesloe Dr [301291]
753,Southbound,013,Bond University [319718]
753,Southbound,014,University Dr near Shore Ave [301454]
753,Southbound,015,University Dr near Varsity Pde [301455]
753,Southbound,016,Varsity Sound Ave near Azzurra Dr [318317]
753,Southbound,017,Varsity Lakes station [300051]
753,Southbound,018,Scottsdale Dr near Reedy Creek Rd [301436]
753,Southbound,019,Reedy Creek Rd at Ambassador Drive [300604]
753,Southbound,020,Classic Way at Treetops Plaza [319288]
753,Southbound,021,Marymount Catholic College [300198]
753,Southbound,022,Stockland Burleigh Heads [300021]
753,Southbound,023,West Burleigh Rd at Dunlin Drive [300200]
753,Southbound,Last Stop,Burleigh Heads station [300018]
754,Northbound,001,Burleigh Heads station [321299]
754,Northbound,002,West Burleigh Rd at Stanley Street [300184]
754,Northbound,003,West Burleigh Rd at George Street West [300185]
754,Northbound,004,West Burleigh Rd at Dunlin Drive [300186]
754,Northbound,005,Stockland Burleigh Heads [300021]
754,Northbound,006,Classic Way at Treetops Plaza [300197]
754,Northbound,007,Coolibah Cr near Willow St [301443]
754,Northbound,008,Willow St near Eucalyptus Ave [301461]
754,Northbound,009,Yodelay St at Tracey Crescent [301466]
754,Northbound,010,Yodelay St near Gainsborough Dr [301464]
754,Northbound,011,Cumberland Dr near Silvabank Dr [301445]
754,Northbound,012,Christine Ave at Silvabank Drive [300600]
754,Northbound,013,Christine Ave at Bermuda Street [300601]
754,Northbound,014,Bermuda St at Lake Orr [300597]
754,Northbound,015,Cottesloe Dr near Bermuda St [300954]
754,Northbound,016,Rio Vista Bvd near Karabella Ct [300970]
754,Northbound,017,Rio Vista Bvd near Crestmore Ct [300971]
754,Northbound,018,Rio Vista Bvd near Barrier Reef Dr [300972]
754,Northbound,019,Barrier Reef Dr near Deloraine Ct [300953]
754,Northbound,020,Barrier Reef Dr near Halborne Dr [300949]
754,Northbound,021,Barrier Reef Dr near Henning Ct [300950]
754,Northbound,022,Barrier Reef Dr near Orpheus Rd [300951]
754,Northbound,023,Barrier Reef Dr near Rio Vista Bvd [300952]
754,Northbound,024,Markeri St near Intrepid Dr [300958]
754,Northbound,025,Markeri St near Rumrunner St [300965]
754,Northbound,026,Markeri St near Sunshine Bvd [300959]
754,Northbound,027,Sunshine Bvd near Markeri St [300985]
754,Northbound,028,Sunshine Bvd at Gooding Park [300350]
754,Northbound,029,Sunshine Bvd at Bordeaux Street [300351]
754,Northbound,030,"Pacific Fair, stop B [319971]"
754,Northbound,Last Stop,Broadbeach South station [320865]
754,Southbound,001,"Broadbeach South station, stop D [320863]"
754,Southbound,002,"Pacific Fair, stop A [319970]"
754,Southbound,003,Sunshine Bvd at Bordeaux Street [300347]
754,Southbound,004,Sunshine Bvd at Surfers Avenue [300348]
754,Southbound,005,Sunshine Bvd at Lindon Park [300349]
754,Southbound,006,Markeri St near Sunshine Bvd [300962]
754,Southbound,007,Markeri St near Rumrunner St [300960]
754,Southbound,008,Markeri St near Southerly St [300964]
754,Southbound,009,Barrier Reef Dr near Wild Duck Dr [300944]
754,Southbound,010,Barrier Reef Dr near Normanby St [300945]
754,Southbound,011,Barrier Reef Dr near Hayman Ct [300946]
754,Southbound,012,Barrier Reef Dr near Peninsula Ct [300947]
754,Southbound,013,Barrier Reef Dr near Deloraine Ct [300948]
754,Southbound,014,Rio Vista Bvd near Pilot Ct [300976]
754,Southbound,015,Rio Vista Bvd near Compass Ct [300977]
754,Southbound,016,Rio Vista Bvd near Cottesloe Dr [300978]
754,Southbound,017,Cottesloe Dr near Kirup St [300955]
754,Southbound,018,Bermuda St at Lake Orr [300187]
754,Southbound,019,Christine Ave at Bermuda Street [300189]
754,Southbound,020,Christine Ave at Silvabank Drive [300598]
754,Southbound,021,Cumberland Dr near Yodelay St [301446]
754,Southbound,022,Yodelay St near Gainborough Dr [301463]
754,Southbound,023,Yodelay St near Babu St [301465]
754,Southbound,024,Willow St near Wattle St [301462]
754,Southbound,025,Coolibah Cr near Willow St [319287]
754,Southbound,026,Mattocks Rd at Viburnum Street [300709]
754,Southbound,027,Reedy Creek Rd at Executive Drive [300199]
754,Southbound,028,Classic Way at Treetops Plaza [319288]
754,Southbound,029,Marymount Catholic College [300198]
754,Southbound,030,Stockland Burleigh Heads [300021]
754,Southbound,031,West Burleigh Rd at Dunlin Drive [300200]
754,Southbound,Last Stop,Burleigh Heads station [300018]
760,Northbound,001,Wharf St at Tweed Heads [300002]
760,Northbound,002,Twin Towns Services Club [300052]
760,Northbound,003,Griffith St at Coolangatta East [300216]
760,Northbound,004,Coolangatta Central [300217]
760,Northbound,005,Marine Pde at Kirra Beach [300220]
760,Northbound,006,Marine Pde at Kirra Beach Hotel [300221]
760,Northbound,007,Musgrave St at Kirra shops [300224]
760,Northbound,008,Musgrave St at Coyne Street [300225]
760,Northbound,009,Gold Coast Airport [300008]
760,Northbound,010,Johnston Street [300006]
760,Northbound,011,Golden Four Dr at George Street [300122]
760,Northbound,012,Golden Four Dr at Bilinga Beach [300124]
760,Northbound,013,Golden Four Dr at Bilinga Beach SLSC [300125]
760,Northbound,014,Golden Four Dr at Short Street [300578]
760,Northbound,015,Golden Four Dr at Shell Street [300580]
760,Northbound,016,Golden Four Dr at Tugun Beach shops [300585]
760,Northbound,017,Golden Four Drive at St Monica's Catholic Church [300586]
760,Northbound,018,Teemangum St at Kropp Park [300590]
760,Northbound,019,Currumbin Wildlife Sanctuary [300024]
760,Northbound,020,Gold Coast Hwy at Currumbin Hill [300243]
760,Northbound,021,Gold Coast Hwy at Thrower Drive [300433]
760,Northbound,022,Thrower Dr near Luzon Pde [301181]
760,Northbound,023,Palm Beach Currumbin High School [300438]
760,Northbound,024,Sarawak Ave at Salk Oval [300436]
760,Northbound,025,"The Pines Shopping Centre, stop B [320932]"
760,Northbound,026,KP McGrath Dr at Elanora State School [300252]
760,Northbound,027,KP McGrath Dr near Murtha Dr [300827]
760,Northbound,028,KP McGrath Dr near Seaview Pde [300828]
760,Northbound,029,KP McGrath Dr near Angelica St [317721]
760,Northbound,030,Old Coach Rd near Bridgman Dr [318940]
760,Northbound,031,Varsity Lakes station [300051]
760,Northbound,032,Varsity Sound Ave near Azzurra Dr [302284]
760,Northbound,033,Christine Ave at Konda Way [301267]
760,Northbound,034,Christine Ave at Goldwater Drive [301268]
760,Northbound,035,Christine Ave at Scottsdale Drive [320126]
760,Northbound,036,Christine Ave at The Crestway [321504]
760,Northbound,Last Stop,Robina Town Centre [300041]
760,Southbound,001,Robina Town Centre [300042]
760,Southbound,002,Christine Ave at The Crestway [321505]
760,Southbound,003,Christine Ave at Olympus Drive [301269]
760,Southbound,004,Christine Ave at Konda Way [301270]
760,Southbound,005,Varsity Sound Ave near Azzurra Dr [318317]
760,Southbound,006,Varsity Lakes station [300051]
760,Southbound,007,Scottsdale Dr near Reedy Creek Rd [301436]
760,Southbound,008,KP McGrath Dr near Exmouth Cr [317722]
760,Southbound,009,KP McGrath Dr at Seaview Parade [300825]
760,Southbound,010,KP McGrath Dr at Murtha Drive [300826]
760,Southbound,011,KP McGrath Dr at Elanora State School [300251]
760,Southbound,012,"The Pines Shopping Centre, stop A [320931]"
760,Southbound,013,Sarawak Ave at Salk Oval [300435]
760,Southbound,014,Palm Beach Currumbin High School [300437]
760,Southbound,015,Thrower Dr near Luzon Pde [301180]
760,Southbound,016,Gold Coast Hwy at Thrower Drive [300432]
760,Southbound,017,Gold Coast Hwy at Currumbin Hill [300242]
760,Southbound,018,Currumbin Wildlife Sanctuary [300248]
760,Southbound,019,Teemangum St at Kropp Park [300589]
760,Southbound,020,Golden Four Drive at St Monica's Catholic Church [300583]
760,Southbound,021,Golden Four Dr at Tugun Beach shops [300584]
760,Southbound,022,Golden Four Dr at Shell Street [300581]
760,Southbound,023,Golden Four Dr at Short Street [300126]
760,Southbound,024,Golden Four Dr at Bilinga Beach SLSC [300127]
760,Southbound,025,Golden Four Dr at Bilinga Beach [300132]
760,Southbound,026,Golden Four Dr at George Street [300129]
760,Southbound,027,Cahill Street [300007]
760,Southbound,028,Gold Coast Airport [300008]
760,Southbound,029,Musgrave St at Coyne Street [300226]
760,Southbound,030,Musgrave St at Kirra shops [300227]
760,Southbound,031,Marine Pde at Kirra Beach [300222]
760,Southbound,032,McLean St at Queen Elizabeth Park [300223]
760,Southbound,033,Coolangatta Central [300218]
760,Southbound,034,Griffith St at Coolangatta East [300219]
760,Southbound,Last Stop,Wharf St at Tweed Mall [300003]
765,Northbound,001,"The Pines Shopping Centre, stop A [320931]"
765,Northbound,002,Sarawak Ave at Salk Oval [300435]
765,Northbound,003,Palm Beach Currumbin High School [300437]
765,Northbound,004,Thrower Dr near Luzon Pde [301180]
765,Northbound,005,Gold Coast Hwy at Palm Beach Police Station [300411]
765,Northbound,006,Gold Coast Hwy at Fourth Avenue [300412]
765,Northbound,007,Palm Beach [300413]
765,Northbound,008,Gold Coast Hwy at Eighth Avenue [300414]
765,Northbound,009,Gold Coast Hwy at Tenth Avenue [300415]
765,Northbound,010,Gold Coast Hwy at Fifteenth Avenue [300416]
765,Northbound,011,Nineteenth Avenue [300417]
765,Northbound,012,Gold Coast Hwy at Twenty First Avenue [300418]
765,Northbound,013,Gold Coast Hwy at Twenty Fifth Avenue [300419]
765,Northbound,014,Twenty Seventh Avenue [300420]
765,Northbound,015,Gold Coast Hwy at Tallebudgera Tourist Park [300434]
765,Northbound,016,Burleigh Heads National Park [300178]
765,Northbound,017,Tweed St at George St [300183]
765,Northbound,018,Burleigh Heads station [321299]
765,Northbound,019,Burleigh Heads Primary School CLOSED [300017]
765,Northbound,020,Gold Coast Hwy at Anzac Pde CLOSED [300180]
765,Northbound,021,Christine Ave at Hibiscus Haven [300172]
765,Northbound,022,Christine Ave at Spoonbill Court [300193]
765,Northbound,023,Christine Ave at Barbet Place [300194]
765,Northbound,024,Christine Ave at Burleigh Waters Library [300195]
765,Northbound,025,Christine Ave at Caningeraba State School [300196]
765,Northbound,026,Christine Ave at Bermuda Street [300189]
765,Northbound,027,Christine Ave at Silvabank Drive [300598]
765,Northbound,028,Christine Ave at Pennsylvania Avenue [301438]
765,Northbound,029,Christine Ave at Regensberg Close [301441]
765,Northbound,030,Christine Ave at Varsity College [300599]
765,Northbound,031,Christine Ave at Varsity Sound Avenue [301439]
765,Northbound,032,Varsity Sound Ave near Azzurra Dr [318317]
765,Northbound,033,Varsity Lakes station [300051]
765,Northbound,034,Scottsdale Dr at Firebird Street [317716]
765,Northbound,035,Scottsdale Dr at Laurel Oak Drive [317717]
765,Northbound,036,Scottsdale Dr at Christine Avenue [317719]
765,Northbound,037,Christine Ave at Scottsdale Drive [320126]
765,Northbound,038,Christine Ave at The Crestway [321504]
765,Northbound,Last Stop,Robina Town Centre [300041]
765,Southbound,001,Robina Town Centre [300042]
765,Southbound,002,Christine Ave at The Crestway [321505]
765,Southbound,003,Scottsdale Dr at Christine Avenue [317720]
765,Southbound,004,Scottsdale Dr at Laurel Oak Drive [317718]
765,Southbound,005,Scottsdale Dr at Firebird Street [317715]
765,Southbound,006,Varsity Lakes station [300051]
765,Southbound,007,Varsity Sound Ave near Azzurra Dr [302284]
765,Southbound,008,Christine Ave at Varsity Sound Avenue [301440]
765,Southbound,009,Christine Ave at Varsity College [300602]
765,Southbound,010,Christine Ave at Regensberg Close [300603]
765,Southbound,011,Christine Ave at Pennsylvania Avenue [301442]
765,Southbound,012,Christine Ave at Silvabank Drive [300600]
765,Southbound,013,Christine Ave at Bermuda Street [300601]
765,Southbound,014,Christine Ave at Caningeraba State School [300190]
765,Southbound,015,Christine Ave at Burleigh Waters Library [300188]
765,Southbound,016,Christine Ave at Hillstar Avenue [300191]
765,Southbound,017,Christine Ave at Spoonbill Court [300192]
765,Southbound,018,Christine Ave at Hibiscus Haven [300358]
765,Southbound,019,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26 [300179]
765,Southbound,020,Gold Coast Hwy at Third Avenue CLOSED until 26-04-26 [300174
765,Southbound,021,Gold Coast Hwy at Second Avenue station [300175]
765,Southbound,022,Burleigh Heads Primary School CLOSED PERMANENTLY [300176]
765,Southbound,022,Burleigh Heads station [300018]
765,Southbound,023,Burleigh Heads station [300018]
765,Southbound,023,Tweed St at George Street [300182]
765,Southbound,024,Burleigh Heads National Park [300177]
765,Southbound,024,Tweed St at George Street [300182]
765,Southbound,025,Burleigh Heads National Park [300177]
765,Southbound,025,Gold Coast Hwy at Tallebudgera Tourist Park [300421]
765,Southbound,026,Gold Coast Hwy at Tallebudgera Tourist Park [300421]
765,Southbound,026,Twenty Seventh Avenue [300422]
765,Southbound,027,Gold Coast Hwy at Twenty Fifth Avenue [300423]
765,Southbound,027,Twenty Seventh Avenue [300422]
765,Southbound,028,Gold Coast Hwy at Twenty Fifth Avenue [300423]
765,Southbound,028,Gold Coast Hwy at Twenty First Avenue [300424]
765,Southbound,029,Gold Coast Hwy at Twenty First Avenue [300424]
765,Southbound,029,Nineteenth Avenue [300425]
765,Southbound,030,Gold Coast Hwy at Fifteenth Avenue [300426]
765,Southbound,030,Nineteenth Avenue [300425]
765,Southbound,031,Gold Coast Hwy at Fifteenth Avenue [300426]
765,Southbound,031,Gold Coast Hwy at Thirteenth Avenue [300427]
765,Southbound,032,Gold Coast Hwy at Eighth Avenue [300428]
765,Southbound,032,Gold Coast Hwy at Thirteenth Avenue [300427]
765,Southbound,033,Gold Coast Hwy at Eighth Avenue [300428]
765,Southbound,033,Palm Beach [300429]
765,Southbound,034,Gold Coast Hwy at Palm Beach Police Station [300431]
765,Southbound,034,Palm Beach [300429]
765,Southbound,035,GC Hwy at Palm Beach Hotel CLOSED 6 Oct - 20 Dec 2027 [30043
765,Southbound,035,Thrower Dr near Luzon Pde [301181]
765,Southbound,036,Gold Coast Hwy at Palm Beach Police Station [300431]
765,Southbound,036,Palm Beach Currumbin High School [300438]
765,Southbound,037,Sarawak Ave at Salk Oval [300436]
765,Southbound,037,Thrower Dr near Luzon Pde [301181]
765,Southbound,038,Palm Beach Currumbin High School [300438]
765,Southbound,039,Sarawak Ave at Salk Oval [300436]
765,Southbound,Last Stop,"The Pines Shopping Centre, stop A [320931]"
777,Northbound,001,Gold Coast Airport [300008]
777,Northbound,002,Palm Beach [300413]
777,Northbound,003,Nineteenth Avenue [300417]
777,Northbound,004,Twenty Seventh Avenue [300420]
777,Northbound,005,Burleigh Heads Primary School CLOSED [300017]
777,Northbound,006,Gold Coast Hwy at Miami Hotel [300360]
777,Northbound,007,Gold Coast Hwy at Nobby Beach station [300330]
777,Northbound,008,Gold Coast Hwy at Mermaid Beach South station [300332]
777,Northbound,009,Gold Coast Hwy at Mermaid Beach station [300335]
777,Northbound,Last Stop,Broadbeach South station [320864]
777,Southbound,001,"Broadbeach South station, stop B [320861]"
777,Southbound,002,Gold Coast Hwy at Mermaid Beach station [300337]
777,Southbound,003,Gold Coast Hwy at Mermaid Beach South station [300344]
777,Southbound,004,Gold Coast Hwy at Nobby Beach station [300340]
777,Southbound,005,Gold Coast Hwy at Miami Hotel CLOSED [300364]
777,Southbound,006,Burleigh Heads station [300018]
777,Southbound,007,Twenty Seventh Avenue [300422]
777,Southbound,008,Nineteenth Avenue [300425]
777,Southbound,009,Palm Beach [300429]
777,Southbound,Last Stop,Gold Coast Airport [300008]
